id,tripadvisor_id,name,address,latitude,longitude,rating,category,source,raw,created_at,updated_at,image_urls,primary_image_url,image_url,stored_image_path,image_downloaded_at,review_count,web_url,location_type,phone_number,website,description,hours_of_operation,photo_count,rank_in_category,awards,price_range,duration,traveler_type,best_for_type,visibility_score,slug,highlights,best_for,admission_fee,photo_urls,review_details,ranking_in_city,ranking_in_category,amenities,accessibility_info,nearby_attractions,price_level,lat,lng,featured_image_url,verified,last_verified_at,fetch_status,fetch_error_message,ranking_position,num_reviews,ranking_string,cuisine,features,ranking_geo,phone,email,subcategory,ranking_data,reviews_summary,tags,city,country,city_id,region_name,currency,timezone,last_synced,avg_cost
1028,null,Beach Resort - Imus,"Imus, Philippines",14.39458321,120.91674331,4.8,hotels,tripadvisor_direct,"{""city"":""Imus"",""category"":""hotels"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.763Z""}",2025-10-27 21:59:42.775263,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=hotels&bg=45B7D1&textColor=ffffff,null,2025-10-27 23:35:54.984+00,1575,https://www.tripadvisor.com/,Hotel,+63 864 6599,https://example-1018.ph,Beach Resort - Imus is a popular destination in Imus offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",10,45 of 163,[],$,1-2 hours,Families,Experience,96.00,beach-resort-imus-1018,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":93,""category"":""Families""}]",null,[],[],33,17,"[{""name"":""Free WiFi"",""available"":true},{""name"":""Swimming Pool"",""available"":true},{""name"":""Restaurant"",""available"":true},{""name"":""Bar"",""available"":true},{""name"":""Fitness Center"",""available"":true},{""name"":""Spa"",""available"":true},{""name"":""Room Service"",""available"":true},{""name"":""Parking"",""available"":true}]","{""elevator"":true,""pet_friendly"":true,""accessible_parking"":true,""accessible_restroom"":true,""wheelchair_accessible"":true}",[],4,14.37841061,120.91730854,null,true,2025-10-27 21:59:19.763+00,success,null,7,1575,33 of 155,null,null,Philippines,+63 117 7812,null,null,"{""city_rank"":62,""overall_rank"":38,""category_rank"":40}","{""total_reviews"":1575,""average_rating"":4.8,""review_breakdown"":{""good"":236,""okay"":63,""poor"":15,""excellent"":787,""very_good"":472}}",null,Imus,Philippines,354eba88-28f2-4fed-bde0-68705d99045e,Imus,PHP,Asia/Manila,2025-10-27 21:59:19.763+00,6160
1824,null,Heritage Site - Negros Occidental,"Negros Occidental, Philippines",10.66463391,122.94119429,5.0,attractions,tripadvisor_direct,"{""city"":""Negros Occidental"",""category"":""attractions"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.772Z""}",2025-10-27 21:59:58.67552,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=attractions&bg=45B7D1&textColor=ffffff,null,2025-10-27 23:33:06.817+00,658,https://www.tripadvisor.com/,Attraction,+63 875 3968,https://example-1814.ph,Heritage Site - Negros Occidental is a popular destination in Negros Occidental offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",30,4 of 81,[],$$$,2-4 hours,Families,Experience,100.00,heritage-site-negros-occidental-1814,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":331,""category"":""Families""}]",null,[],[],10,11,"[{""name"":""Parking"",""available"":true},{""name"":""Restrooms"",""available"":true},{""name"":""Gift Shop"",""available"":true},{""name"":""Guided Tours"",""available"":true},{""name"":""Food Court"",""available"":true},{""name"":""Photo Opportunities"",""available"":true}]","{""elevator"":true,""pet_friendly"":true,""accessible_parking"":true,""accessible_restroom"":true,""wheelchair_accessible"":true}",[],3,10.64866791,122.95870070,null,true,2025-10-27 21:59:19.772+00,success,null,19,658,75 of 122,null,null,Philippines,+63 118 4143,null,null,"{""city_rank"":14,""overall_rank"":65,""category_rank"":32}","{""total_reviews"":658,""average_rating"":5,""review_breakdown"":{""good"":98,""okay"":26,""poor"":6,""excellent"":329,""very_good"":197}}",null,Negros Occidental,Philippines,75df35e4-9938-43d7-9551-2c1ef6cb0dc4,Negros Occidental,PHP,Asia/Manila,2025-10-27 21:59:19.772+00,800
2575,null,Traditional Eatery - Davao del Sur,"Davao del Sur, Philippines",6.80403994,125.34288671,4.6,restaurants,tripadvisor_direct,"{""city"":""Davao del Sur"",""category"":""restaurants"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.779Z""}",2025-10-27 22:00:13.632602,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=restaurants&bg=FFA07A&textColor=ffffff,null,2025-10-27 23:37:06.42+00,951,https://www.tripadvisor.com/,Restaurant,+63 547 3574,https://example-2565.ph,Traditional Eatery - Davao del Sur is a popular destination in Davao del Sur offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",32,13 of 109,[],$,1-2 hours,Families,Experience,92.00,traditional-eatery-davao-del-sur-2565,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":129,""category"":""Families""}]",null,[],[],47,36,"[{""name"":""Outdoor Seating"",""available"":true},{""name"":""Takeout"",""available"":true},{""name"":""Delivery"",""available"":true},{""name"":""WiFi"",""available"":true},{""name"":""Reservations"",""available"":true},{""name"":""Bar"",""available"":true},{""name"":""Full Bar"",""available"":true},{""name"":""Cocktails"",""available"":true}]","{""elevator"":false,""pet_friendly"":true,""accessible_parking"":true,""accessible_restroom"":true,""wheelchair_accessible"":true}",[],4,6.80785994,125.35260337,null,true,2025-10-27 21:59:19.779+00,success,null,79,951,80 of 211,null,null,Philippines,+63 850 4330,null,null,"{""city_rank"":37,""overall_rank"":23,""category_rank"":7}","{""total_reviews"":951,""average_rating"":4.6,""review_breakdown"":{""good"":142,""okay"":38,""poor"":9,""excellent"":475,""very_good"":285}}",null,Davao del Sur,Philippines,b110eb7c-37b2-45e5-9e7d-d409c51fabc1,Davao del Sur,PHP,Asia/Manila,2025-10-27 21:59:19.779+00,592
1985,null,Philippine Kitchen - Bohol,"Bohol, Philippines",10.39491241,123.62687587,4.4,restaurants,tripadvisor_direct,"{""city"":""Bohol"",""category"":""restaurants"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.773Z""}",2025-10-27 22:00:01.626488,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=restaurants&bg=98D8C8&textColor=ffffff,null,2025-10-27 23:38:42.368+00,1016,https://www.tripadvisor.com/,Restaurant,+63 186 6747,https://example-1975.ph,Philippine Kitchen - Bohol is a popular destination in Bohol offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",22,1 of 216,"[{""name"":""Travelers' Choice"",""year"":2024,""award_type"":""recognition""}]",$,1-2 hours,Families,Experience,88.00,philippine-kitchen-bohol-1975,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":395,""category"":""Families""}]",null,[],[],38,45,"[{""name"":""Outdoor Seating"",""available"":true},{""name"":""Takeout"",""available"":true},{""name"":""Delivery"",""available"":true},{""name"":""WiFi"",""available"":true},{""name"":""Reservations"",""available"":true},{""name"":""Bar"",""available"":true},{""name"":""Full Bar"",""available"":true},{""name"":""Cocktails"",""available"":true}]","{""elevator"":false,""pet_friendly"":true,""accessible_parking"":true,""accessible_restroom"":true,""wheelchair_accessible"":false}",[],1,10.38934663,123.64678135,null,true,2025-10-27 21:59:19.773+00,success,null,3,1016,14 of 246,null,null,Philippines,+63 824 6742,null,null,"{""city_rank"":58,""overall_rank"":100,""category_rank"":33}","{""total_reviews"":1016,""average_rating"":4.4,""review_breakdown"":{""good"":152,""okay"":40,""poor"":10,""excellent"":508,""very_good"":304}}",null,Bohol,Philippines,0160a945-05fe-4036-b38e-dcaba51fa1ea,Bohol,PHP,Asia/Manila,2025-10-27 21:59:19.773+00,426
3,null,Malate Church,"Gen. Luna St, Malate, Manila",14.57470000,120.98010000,4.2,attractions,tripadvisor,null,2025-10-27 21:13:17.779764,2025-10-28 02:23:10.350425,"[""https://corcofbmafdxehvlbesx.supabase.co/storage/v1/object/public/nearby_listings/listings/demo_3/image_1.jpg""]",https://corcofbmafdxehvlbesx.supabase.co/storage/v1/object/public/nearby_listings/listings/demo_3/image_1.jpg,https://images.unsplash.com/photo-1464207687429-7505649dae38?w=600&h=400&fit=crop&auto=format&q=80,null,null,520,null,Attraction,null,null,Historic Roman Catholic church dating back to 1588. Features intricate architecture and religious artwork.,{},89,null,[],Free,45 mins - 1 hour,null,null,null,malate-church,"[""Religious site"",""Architecture""]",[],null,[],[],null,null,[],{},null,null,14.57470000,120.98010000,null,true,null,success,null,null,null,null,null,null,null,null,null,null,null,null,null,Manila,Philippines,a83a0e9f-8b05-4200-8b24-2bedf77ce8fe,null,PHP,null,2025-10-27 21:13:17.779764+00,42
1179,null,Farm-to-Table - Biñan,"Biñan, Philippines",14.34933054,121.11105253,4.8,restaurants,tripadvisor_direct,"{""city"":""Biñan"",""category"":""restaurants"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.765Z""}",2025-10-27 21:59:45.89446,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=restaurants&bg=45B7D1&textColor=ffffff,null,2025-10-27 23:34:53.526+00,827,https://www.tripadvisor.com/,Restaurant,+63 761 6779,https://example-1169.ph,Farm-to-Table - Biñan is a popular destination in Biñan offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",24,21 of 185,[],$,1-2 hours,Families,Experience,96.00,farm-to-table-bian-1169,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":305,""category"":""Families""}]",null,[],[],3,10,"[{""name"":""Outdoor Seating"",""available"":true},{""name"":""Takeout"",""available"":true},{""name"":""Delivery"",""available"":true},{""name"":""WiFi"",""available"":true},{""name"":""Reservations"",""available"":true},{""name"":""Bar"",""available"":true},{""name"":""Full Bar"",""available"":true},{""name"":""Cocktails"",""available"":true}]","{""elevator"":false,""pet_friendly"":false,""accessible_parking"":true,""accessible_restroom"":false,""wheelchair_accessible"":true}",[],1,14.36589789,121.09095506,null,true,2025-10-27 21:59:19.765+00,success,null,6,827,99 of 122,null,null,Philippines,+63 880 7118,null,null,"{""city_rank"":57,""overall_rank"":92,""category_rank"":2}","{""total_reviews"":827,""average_rating"":4.8,""review_breakdown"":{""good"":124,""okay"":33,""poor"":8,""excellent"":413,""very_good"":248}}",null,Biñan,Philippines,7bdeeb8d-ded1-412f-9750-76640fb8db6f,Biñan,PHP,Asia/Manila,2025-10-27 21:59:19.765+00,800
447,null,Fine Dining Restaurant - Siargao,"Siargao, Philippines",9.82722511,126.05236769,5.4,restaurants,tripadvisor_direct,"{""city"":""Siargao"",""category"":""restaurants"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.753Z""}",2025-10-27 21:59:30.840461,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=restaurants&bg=45B7D1&textColor=ffffff,null,2025-10-27 23:30:40.416+00,526,https://www.tripadvisor.com/,Restaurant,+63 862 8415,https://example-437.ph,Fine Dining Restaurant - Siargao is a popular destination in Siargao offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",18,31 of 148,"[{""name"":""Travelers' Choice"",""year"":2024,""award_type"":""recognition""}]",$,1-2 hours,Families,Experience,108.00,fine-dining-restaurant-siargao-437,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":90,""category"":""Families""}]",null,[],[],40,29,"[{""name"":""Outdoor Seating"",""available"":true},{""name"":""Takeout"",""available"":true},{""name"":""Delivery"",""available"":true},{""name"":""WiFi"",""available"":true},{""name"":""Reservations"",""available"":true},{""name"":""Bar"",""available"":true},{""name"":""Full Bar"",""available"":true},{""name"":""Cocktails"",""available"":true}]","{""elevator"":false,""pet_friendly"":true,""accessible_parking"":true,""accessible_restroom"":false,""wheelchair_accessible"":false}",[],2,9.87268941,125.97171922,null,true,2025-10-27 21:59:19.753+00,success,null,78,526,89 of 165,null,null,Philippines,+63 455 1878,null,null,"{""city_rank"":86,""overall_rank"":14,""category_rank"":46}","{""total_reviews"":526,""average_rating"":5.4,""review_breakdown"":{""good"":78,""okay"":21,""poor"":5,""excellent"":263,""very_good"":157}}",null,Siargao,Philippines,953a4226-e30d-4bf5-b543-053b3261aac2,Siargao,PHP,Asia/Manila,2025-10-27 21:59:19.753+00,770
2406,null,Historical Fort - Sultan Kudarat,"Sultan Kudarat, Philippines",6.95414641,124.47574075,4.7,attractions,tripadvisor_direct,"{""city"":""Sultan Kudarat"",""category"":""attractions"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.777Z""}",2025-10-27 22:00:09.726546,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=attractions&bg=45B7D1&textColor=ffffff,null,2025-10-27 23:36:24.236+00,271,https://www.tripadvisor.com/,Attraction,+63 910 4750,https://example-2396.ph,Historical Fort - Sultan Kudarat is a popular destination in Sultan Kudarat offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",11,49 of 182,"[{""name"":""Travelers' Choice"",""year"":2024,""award_type"":""recognition""}]",$,2-4 hours,Families,Experience,94.00,historical-fort-sultan-kudarat-2396,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":226,""category"":""Families""}]",null,[],[],54,44,"[{""name"":""Parking"",""available"":true},{""name"":""Restrooms"",""available"":true},{""name"":""Gift Shop"",""available"":true},{""name"":""Guided Tours"",""available"":true},{""name"":""Food Court"",""available"":true},{""name"":""Photo Opportunities"",""available"":true}]","{""elevator"":true,""pet_friendly"":false,""accessible_parking"":true,""accessible_restroom"":true,""wheelchair_accessible"":true}",[],4,6.88620901,124.48451987,null,true,2025-10-27 21:59:19.777+00,success,null,15,271,3 of 98,null,null,Philippines,+63 360 9638,null,null,"{""city_rank"":19,""overall_rank"":79,""category_rank"":28}","{""total_reviews"":271,""average_rating"":4.7,""review_breakdown"":{""good"":40,""okay"":10,""poor"":2,""excellent"":135,""very_good"":81}}",null,Sultan Kudarat,Philippines,7598790b-92fe-4e1f-8f7a-ce55dca3f27e,Sultan Kudarat,PHP,Asia/Manila,2025-10-27 21:59:19.777+00,452
1079,null,Farm-to-Table - Dasmariñas,"Dasmariñas, Philippines",14.29528159,120.99850991,5.2,restaurants,tripadvisor_direct,"{""city"":""Dasmariñas"",""category"":""restaurants"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.764Z""}",2025-10-27 21:59:43.857431,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=restaurants&bg=FFA07A&textColor=ffffff,null,2025-10-27 23:31:56.152+00,630,https://www.tripadvisor.com/,Restaurant,+63 202 8253,https://example-1069.ph,Farm-to-Table - Dasmariñas is a popular destination in Dasmariñas offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",18,17 of 149,"[{""name"":""Travelers' Choice"",""year"":2024,""award_type"":""recognition""}]",$$$,1-2 hours,Families,Experience,104.00,farm-to-table-dasmarias-1069,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":200,""category"":""Families""}]",null,[],[],93,45,"[{""name"":""Outdoor Seating"",""available"":true},{""name"":""Takeout"",""available"":true},{""name"":""Delivery"",""available"":true},{""name"":""WiFi"",""available"":true},{""name"":""Reservations"",""available"":true},{""name"":""Bar"",""available"":true},{""name"":""Full Bar"",""available"":true},{""name"":""Cocktails"",""available"":true}]","{""elevator"":true,""pet_friendly"":true,""accessible_parking"":false,""accessible_restroom"":true,""wheelchair_accessible"":true}",[],3,14.24883915,120.93863971,null,true,2025-10-27 21:59:19.764+00,success,null,2,630,81 of 201,null,null,Philippines,+63 164 7399,null,null,"{""city_rank"":50,""overall_rank"":94,""category_rank"":11}","{""total_reviews"":630,""average_rating"":5.2,""review_breakdown"":{""good"":94,""okay"":25,""poor"":6,""excellent"":315,""very_good"":189}}",null,Dasmariñas,Philippines,1594c9ee-2b5f-453a-8cde-701c7d66f49b,Dasmariñas,PHP,Asia/Manila,2025-10-27 21:59:19.764+00,442
1664,null,Farm-to-Table - Capiz,"Capiz, Philippines",11.52134859,122.98169453,4.7,restaurants,tripadvisor_direct,"{""city"":""Capiz"",""category"":""restaurants"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.771Z""}",2025-10-27 21:59:55.72146,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=restaurants&bg=FFA07A&textColor=ffffff,null,2025-10-27 23:36:39.046+00,751,https://www.tripadvisor.com/,Restaurant,+63 495 8482,https://example-1654.ph,Farm-to-Table - Capiz is a popular destination in Capiz offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",30,42 of 77,[],$,1-2 hours,Families,Experience,94.00,farm-to-table-capiz-1654,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":447,""category"":""Families""}]",null,[],[],72,5,"[{""name"":""Outdoor Seating"",""available"":true},{""name"":""Takeout"",""available"":true},{""name"":""Delivery"",""available"":true},{""name"":""WiFi"",""available"":true},{""name"":""Reservations"",""available"":true},{""name"":""Bar"",""available"":true},{""name"":""Full Bar"",""available"":true},{""name"":""Cocktails"",""available"":true}]","{""elevator"":true,""pet_friendly"":false,""accessible_parking"":true,""accessible_restroom"":true,""wheelchair_accessible"":true}",[],4,11.51172398,122.94129276,null,true,2025-10-27 21:59:19.771+00,success,null,65,751,51 of 66,null,null,Philippines,+63 855 4738,null,null,"{""city_rank"":25,""overall_rank"":33,""category_rank"":33}","{""total_reviews"":751,""average_rating"":4.7,""review_breakdown"":{""good"":112,""okay"":30,""poor"":7,""excellent"":375,""very_good"":225}}",null,Capiz,Philippines,3ac06490-4508-475b-b110-fadc6cd07bed,Capiz,PHP,Asia/Manila,2025-10-27 21:59:19.771+00,915
91,null,Rooftop Bar & Grill - Cebu,"Cebu, Philippines",10.36204061,123.84016324,5.4,restaurants,tripadvisor_direct,"{""city"":""Cebu"",""category"":""restaurants"",""generated"":true,""timestamp"":""2025-10-27T21:59:19.750Z""}",2025-10-27 21:59:22.665182,2025-10-28 02:23:10.350425,[],null,https://via.placeholder.com/600x400?text=restaurants&bg=FF6B6B&textColor=ffffff,null,2025-10-27 23:30:31.384+00,481,https://www.tripadvisor.com/,Restaurant,+63 524 2688,https://example-81.ph,Rooftop Bar & Grill - Cebu is a popular destination in Cebu offering excellent service and memorable experiences.,"{""Friday"":{""open"":""08:00"",""close"":""23:00"",""closed"":false},""Monday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Sunday"":{""open"":""09:00"",""close"":""22:00"",""closed"":false},""Tuesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Saturday"":{""open"":""09:00"",""close"":""23:00"",""closed"":false},""Thursday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false},""Wednesday"":{""open"":""08:00"",""close"":""22:00"",""closed"":false}}",27,43 of 100,"[{""name"":""Travelers' Choice"",""year"":2024,""award_type"":""recognition""}]",$$$,1-2 hours,Families,Experience,108.00,rooftop-bar-grill-cebu-81,"[""Highly rated"",""Verified reviews"",""Award winner"",""Popular with families""]","[{""count"":461,""category"":""Families""}]",null,[],[],8,25,"[{""name"":""Outdoor Seating"",""available"":true},{""name"":""Takeout"",""available"":true},{""name"":""Delivery"",""available"":true},{""name"":""WiFi"",""available"":true},{""name"":""Reservations"",""available"":true},{""name"":""Bar"",""available"":true},{""name"":""Full Bar"",""available"":true},{""name"":""Cocktails"",""available"":true}]","{""elevator"":true,""pet_friendly"":true,""accessible_parking"":true,""accessible_restroom"":true,""wheelchair_accessible"":true}",[],3,10.34489014,123.84876039,null,true,2025-10-27 21:59:19.75+00,success,null,69,481,41 of 60,null,null,Philippines,+63 696 6182,null,null,"{""city_rank"":46,""overall_rank"":14,""category_rank"":8}","{""total_reviews"":481,""average_rating"":5.4,""review_breakdown"":{""good"":72,""okay"":19,""poor"":4,""excellent"":240,""very_good"":144}}",null,Cebu,Philippines,25ab0162-ff18-48ff-977b-a3f687209270,Cebu,PHP,Asia/Manila,2025-10-27 21:59:19.75+00,1075
